x	y	z
0	255	1009
1	255	1888
2	255	1925
3	255	1929
4	255	1936
5	255	1936
6	255	1938
7	255	1936
8	255	1936
9	255	1937
10	255	1935
11	255	1938
12	255	1936
13	255	1939
14	255	1937
15	255	1937
16	255	1929
17	255	1934
18	255	1936
19	255	1936
20	255	1938
21	255	1939
22	255	1938
23	255	1937
24	255	1938
25	255	1936
26	255	1939
27	255	1939
28	255	1938
29	255	1937
30	255	1932
31	255	1914
32	255	1914
33	255	1933
34	255	1930
35	255	1923
36	255	1934
37	255	1935
38	255	1936
39	255	1934
40	255	1924
41	255	1935
42	255	1936
43	255	1937
44	255	1927
45	255	1934
46	255	1937
47	255	1934
48	255	1931
49	255	1938
50	255	1927
51	255	1923
52	255	1936
53	255	1938
54	255	1939
55	255	1938
56	255	1939
57	255	1938
58	255	1939
59	255	1938
60	255	1938
61	255	1933
62	255	1936
63	255	1938
64	255	1938
65	255	1937
66	255	1935
67	255	1938
68	255	1928
69	255	1935
70	255	1927
71	255	1924
72	255	1938
73	255	1937
74	255	1938
75	255	1938
76	255	1938
77	255	1936
78	255	1937
79	255	1936
80	255	1938
81	255	1936
82	255	1936
83	255	1936
84	255	1936
85	255	1930
86	255	1938
87	255	1939
88	255	1932
89	255	1935
90	255	1937
91	255	1939
92	255	1939
93	255	1933
94	255	1934
95	255	1939
96	255	1938
97	255	1939
98	255	1926
99	255	1930
100	255	1918
101	255	1937
102	255	1923
103	255	1931
104	255	1929
105	255	1939
106	255	1938
107	255	1938
108	255	1939
109	255	1939
110	255	1936
111	255	1939
112	255	1939
113	255	1938
114	255	1938
115	255	1938
116	255	1940
117	255	1939
118	255	1939
119	255	1937
120	255	1938
121	255	1939
122	255	1934
123	255	1937
124	255	1939
125	255	1938
126	255	1936
127	255	1929
128	255	1929
129	255	1938
130	255	1936
131	255	1937
132	255	1937
133	255	1935
134	255	1937
135	255	1936
136	255	1938
137	255	1938
138	255	1938
139	255	1937
140	255	1934
141	255	1936
142	255	1936
143	255	1937
144	255	1936
145	255	1938
146	255	1936
147	255	1938
148	255	1938
149	255	1939
150	255	1937
151	255	1937
152	255	1937
153	255	1924
154	255	1935
155	255	1937
156	255	1936
157	255	1937
158	255	1935
159	255	1928
160	255	1936
161	255	1935
162	255	1934
163	255	1916
164	255	1915
165	255	1937
166	255	1928
167	255	1938
168	255	1937
169	255	1937
170	255	1927
171	255	1937
172	255	1937
173	255	1938
174	255	1934
175	255	1937
176	255	1935
177	255	1938
178	255	1936
179	255	1937
180	255	1935
181	255	1938
182	255	1935
183	255	1930
184	255	1932
185	255	1937
186	255	1935
187	255	1937
188	255	1936
189	255	1937
190	255	1927
191	255	1933
192	255	1932
193	255	1938
194	255	1935
195	255	1938
196	255	1937
197	255	1932
198	255	1930
199	255	1937
200	255	1936
201	255	1937
202	255	1935
203	255	1937
204	255	1921
205	255	1935
206	255	1934
207	255	1936
208	255	1938
209	255	1937
210	255	1933
211	255	1935
212	255	1928
213	255	1937
214	255	1935
215	255	1936
216	255	1937
217	255	1937
218	255	1933
219	255	1935
220	255	1933
221	255	1932
222	255	1934
223	255	1937
224	255	1933
225	255	1934
226	255	1930
227	255	1922
228	255	1936
229	255	1936
230	255	1926
231	255	1935
232	255	1933
233	255	1936
234	255	1930
235	255	1934
236	255	1935
237	255	1933
238	255	1925
239	255	1932
240	255	1933
241	255	1936
242	255	1931
243	255	1934
244	255	1931
245	255	1935
246	255	1931
247	255	1932
248	255	1933
249	255	1934
250	255	1930
251	255	1931
252	255	1923
253	255	1907
254	255	1907
255	255	878
0	254	0.97319587628866
1	254	1009
2	254	37
3	254	41
4	254	48
5	254	48
6	254	50
7	254	48
8	254	48
9	254	49
10	254	47
11	254	50
12	254	48
13	254	51
14	254	49
15	254	49
16	254	41
17	254	46
18	254	48
19	254	48
20	254	50
21	254	51
22	254	50
23	254	49
24	254	50
25	254	48
26	254	51
27	254	51
28	254	50
29	254	49
30	254	44
31	254	26
32	254	26
33	254	45
34	254	42
35	254	35
36	254	46
37	254	47
38	254	48
39	254	46
40	254	36
41	254	47
42	254	48
43	254	49
44	254	39
45	254	46
46	254	49
47	254	46
48	254	43
49	254	50
50	254	39
51	254	35
52	254	48
53	254	50
54	254	51
55	254	50
56	254	51
57	254	50
58	254	51
59	254	50
60	254	50
61	254	45
62	254	48
63	254	50
64	254	50
65	254	49
66	254	47
67	254	50
68	254	40
69	254	47
70	254	39
71	254	36
72	254	50
73	254	49
74	254	50
75	254	50
76	254	50
77	254	48
78	254	49
79	254	48
80	254	50
81	254	48
82	254	48
83	254	48
84	254	48
85	254	42
86	254	50
87	254	51
88	254	44
89	254	47
90	254	49
91	254	51
92	254	51
93	254	45
94	254	46
95	254	51
96	254	50
97	254	51
98	254	38
99	254	42
100	254	30
101	254	49
102	254	35
103	254	43
104	254	41
105	254	51
106	254	50
107	254	50
108	254	51
109	254	51
110	254	48
111	254	51
112	254	51
113	254	50
114	254	50
115	254	50
116	254	52
117	254	51
118	254	51
119	254	49
120	254	50
121	254	51
122	254	46
123	254	49
124	254	51
125	254	50
126	254	48
127	254	41
128	254	41
129	254	50
130	254	48
131	254	49
132	254	49
133	254	47
134	254	49
135	254	48
136	254	50
137	254	50
138	254	50
139	254	49
140	254	46
141	254	48
142	254	48
143	254	49
144	254	48
145	254	50
146	254	48
147	254	50
148	254	50
149	254	51
150	254	49
151	254	49
152	254	49
153	254	36
154	254	47
155	254	49
156	254	48
157	254	49
158	254	47
159	254	40
160	254	48
161	254	47
162	254	46
163	254	28
164	254	27
165	254	49
166	254	40
167	254	50
168	254	49
169	254	49
170	254	39
171	254	49
172	254	49
173	254	50
174	254	46
175	254	49
176	254	47
177	254	50
178	254	48
179	254	49
180	254	47
181	254	50
182	254	47
183	254	42
184	254	44
185	254	49
186	254	47
187	254	49
188	254	48
189	254	49
190	254	39
191	254	45
192	254	44
193	254	50
194	254	47
195	254	50
196	254	49
197	254	44
198	254	42
199	254	49
200	254	48
201	254	49
202	254	47
203	254	49
204	254	33
205	254	47
206	254	46
